anio,mes,id,nombre_completo,total_visitas,reservas_distintas,promedio_dias_estadia
2024,5,98,José Antonio Luis Gisbert Salvà,4,4,11.5
2024,5,140,Onofre Cuenca Olmedo,3,3,14.33
2024,5,319,Guillermo Castilla Ordóñez,3,3,6.0
2024,5,613,Julie Salcedo-Pino,3,3,13.33
2024,5,360,Marianela Osuna Vaquero,3,3,10.67
2024,5,398,Bernabé Nadal Zaragoza,3,3,13.67
2024,5,668,Urbano de Diaz,3,3,12.67
2024,5,624,Alicia del Lucas,3,3,2.67
2024,5,36,Jordi Lladó Fuertes,3,3,2.67
2024,5,181,Griselda Rodriguez Ramón,2,2,14.5
2024,5,139,Camilo Revilla Baró,2,2,13.0
2024,5,466,Efraín Valero Garriga,2,2,5.5
2024,5,13,Glauco Morillo Palau,2,2,2.0
2024,5,643,Macario Sandoval Puga,2,2,3.5
2024,5,289,Toribio Coello-Aliaga,2,2,10.5
2024,5,599,Tamara Portero-Leiva,2,2,13.0
2024,5,51,Julio de Torralba,2,2,11.5
2024,5,251,Modesto Durán-Trujillo,2,2,8.0
2024,5,205,Angélica Delgado Guardiola,2,2,12.0
2024,5,368,Diana Suarez-Domínguez,2,2,10.0
2024,5,277,Isidora Gárate López,2,2,11.5
2024,5,326,Borja de Quintana,2,2,12.0
2024,5,680,Leonel Gargallo-Acosta,2,2,19.5
2024,5,765,Calixto Darío Crespi Posada,2,2,11.5
2024,5,348,Herminia Cerezo Casanovas,2,2,11.5
2024,5,273,Andrés Ojeda Falcón,2,2,18.0
2024,5,382,Elpidio Azcona Ugarte,2,2,12.5
2024,5,557,Lisandro Gracia Llorente,2,2,6.5
2024,5,528,Lorenza Molina Cobo,2,2,8.5
2024,5,137,Ainoa Mur Sancho,2,2,12.5
2024,5,495,Roxana Catalina Moles Benet,2,2,13.0
2024,5,28,Susana Viñas Mateu,2,2,9.5
2024,5,661,Fortunato Reguera Guardia,2,2,4.5
2024,5,438,Gisela Odalys Casanovas Almagro,2,2,7.0
2024,5,125,Gustavo Rodriguez Córdoba,2,2,10.0
2024,5,712,Sandra Falcó-Carbonell,2,2,7.5
2024,5,695,Aroa Salvà Moliner,2,2,17.0
2024,5,717,Brígida Quintero,2,2,8.5
2024,5,592,Pastora Giralt Talavera,2,2,17.0
2024,5,464,Natalio Virgilio Haro Julián,2,2,13.0
2024,5,786,Agustina Arévalo Vallejo,2,2,5.0
2024,5,402,Máximo Carreras Pons,2,2,6.5
2024,5,651,Nicolás Andrade,2,2,10.0
2024,5,248,Bernardita Menendez,2,2,6.5
2024,5,267,Camilo de Gomila,2,2,12.0
2024,5,461,Gracia Lucena-Garcés,2,2,15.5
2024,5,608,Candela Ortuño Quero,2,2,3.0
2024,5,498,Gerónimo Garay Azcona,2,2,4.5
2024,5,197,Cesar Saldaña Lamas,2,2,13.5
2024,5,121,Piedad del Checa,2,2,7.5
2024,5,606,Florentina Vaquero Lastra,2,2,10.0
2024,5,272,Alex Ángel,2,2,11.0
2024,5,78,Abilio Antón Águila,2,2,10.5
2024,5,212,Elías Quirós Capdevila,2,2,16.5
2024,5,477,Olga Martin Valdés,2,2,17.5
2024,5,363,Marisol Belda Durán,2,2,10.0
2024,5,626,Araceli Bartolomé Márquez,1,1,17.0
2024,5,67,Leonel Duarte Iglesia,1,1,19.0
2024,5,217,Yéssica Amaya Bustos,1,1,16.0
2024,5,180,Salvador Sotelo Zurita,1,1,9.0
2024,5,258,Apolonia Eugenia Cabello Gallardo,1,1,10.0
2024,5,450,Azahar Ferrero Somoza,1,1,5.0
2024,5,562,Rosa del Morata,1,1,4.0
2024,5,278,Amalia Ortiz,1,1,11.0
2024,5,782,Leire Daniela Garrido Jiménez,1,1,4.0
2024,5,760,Pepe Casado Sotelo,1,1,12.0
2024,5,610,Jose Molina Oliva,1,1,3.0
2024,5,170,Marcelino Nadal Mínguez,1,1,14.0
2024,5,117,Marcio Barranco Raya,1,1,13.0
2024,5,690,Remigio Mur Egea,1,1,5.0
2024,5,763,Eligio Pascual Llano Hernandez,1,1,10.0
2024,5,385,Ibán Tomás,1,1,4.0
2024,5,779,Pepita Pinedo,1,1,6.0
2024,5,293,Edgardo Ribera Maldonado,1,1,4.0
2024,5,572,Elías Lastra Quintero,1,1,10.0
2024,5,190,Cesar Gabriel Riba Vargas,1,1,1.0
2024,5,767,Moreno Estévez Alcaraz,1,1,16.0
2024,5,567,Ileana Reguera-Muñoz,1,1,17.0
2024,5,231,Trinidad del Cerezo,1,1,6.0
2024,5,792,Emma Amat,1,1,10.0
2024,5,162,Gervasio Montes Priego,1,1,9.0
2024,5,329,Bibiana de Gallo,1,1,5.0
2024,5,246,Kike Reig,1,1,2.0
2024,5,617,Guadalupe Ropero Soler,1,1,6.0
2024,5,739,Venceslás Jordán Solís Verdú,1,1,17.0
2024,5,275,Pastora Catalina Higueras Palacios,1,1,16.0
