anio,mes,id,nombre_completo,rol,total_estadias
2024,5,98,José Antonio Luis Gisbert Salvà,HUESPED,4
2024,5,668,Urbano de Diaz,HUESPED,3
2024,5,624,Alicia del Lucas,HUESPED,3
2024,5,319,Guillermo Castilla Ordóñez,HUESPED,3
2024,5,140,Onofre Cuenca Olmedo,HUESPED,3
2024,5,398,Bernabé Nadal Zaragoza,HUESPED,3
2024,5,613,Julie Salcedo-Pino,HUESPED,3
2024,5,360,Marianela Osuna Vaquero,HUESPED,3
2024,5,36,Jordi Lladó Fuertes,HUESPED,3
2024,5,643,Macario Sandoval Puga,HUESPED,2
2024,5,438,Gisela Odalys Casanovas Almagro,HUESPED,2
2024,5,651,Nicolás Andrade,HUESPED,2
2024,5,498,Gerónimo Garay Azcona,HUESPED,2
2024,5,599,Tamara Portero-Leiva,HUESPED,2
2024,5,248,Bernardita Menendez,HUESPED,2
2024,5,717,Brígida Quintero,HUESPED,2
2024,5,680,Leonel Gargallo-Acosta,HUESPED,2
2024,5,592,Pastora Giralt Talavera,HUESPED,2
2024,5,13,Glauco Morillo Palau,HUESPED,2
2024,5,181,Griselda Rodriguez Ramón,HUESPED,2
2024,5,477,Olga Martin Valdés,HUESPED,2
2024,5,272,Alex Ángel,HUESPED,2
2024,5,139,Camilo Revilla Baró,HUESPED,2
2024,5,661,Fortunato Reguera Guardia,HUESPED,2
2024,5,712,Sandra Falcó-Carbonell,HUESPED,2
2024,5,28,Susana Viñas Mateu,HUESPED,2
2024,5,495,Roxana Catalina Moles Benet,HUESPED,2
2024,5,348,Herminia Cerezo Casanovas,HUESPED,2
2024,5,212,Elías Quirós Capdevila,HUESPED,2
2024,5,267,Camilo de Gomila,HUESPED,2
2024,5,402,Máximo Carreras Pons,HUESPED,2
2024,5,205,Angélica Delgado Guardiola,HUESPED,2
2024,5,786,Agustina Arévalo Vallejo,HUESPED,2
2024,5,382,Elpidio Azcona Ugarte,HUESPED,2
2024,5,765,Calixto Darío Crespi Posada,HUESPED,2
2024,5,289,Toribio Coello-Aliaga,HUESPED,2
2024,5,557,Lisandro Gracia Llorente,HUESPED,2
2024,5,606,Florentina Vaquero Lastra,HUESPED,2
2024,5,528,Lorenza Molina Cobo,HUESPED,2
2024,5,137,Ainoa Mur Sancho,HUESPED,2
2024,5,464,Natalio Virgilio Haro Julián,HUESPED,2
2024,5,363,Marisol Belda Durán,HUESPED,2
2024,5,51,Julio de Torralba,HUESPED,2
2024,5,326,Borja de Quintana,HUESPED,2
2024,5,197,Cesar Saldaña Lamas,HUESPED,2
2024,5,121,Piedad del Checa,HUESPED,2
