id,username,password,email,nombre_completo,rol,activo,fecha_registro
1,user1,hashed_password,user1@hotel.com,Eligio Arellano Borja,HUESPED,1,2025-09-03 17:28:00
2,user2,hashed_password,user2@hotel.com,Rogelio del Ramis,HUESPED,1,2025-11-11 00:40:37
3,user3,hashed_password,user3@hotel.com,Asunción Pont Moreno,HUESPED,1,2026-01-30 00:37:40
4,user4,hashed_password,user4@hotel.com,Demetrio Cristian Arranz Bravo,HUESPED,1,2025-08-08 00:42:31
5,user5,hashed_password,user5@hotel.com,Yolanda Revilla Perera,HUESPED,1,2025-01-12 21:43:10
6,user6,hashed_password,user6@hotel.com,Elodia Lara Espinosa Zabaleta,HUESPED,1,2026-04-29 13:28:02
7,user7,hashed_password,user7@hotel.com,Guiomar del Paz,RECEPCIONISTA,1,2026-04-06 15:52:45
8,user8,hashed_password,user8@hotel.com,Corona Valcárcel Salcedo,HUESPED,1,2025-03-11 20:57:39
9,user9,hashed_password,user9@hotel.com,Román Murcia Comas,HUESPED,1,2025-05-04 10:33:37
10,user10,hashed_password,user10@hotel.com,Trini Gual Portillo,HUESPED,1,2025-02-09 08:58:42
11,user11,hashed_password,user11@hotel.com,Estrella Tomás Larrea,HUESPED,1,2026-03-28 23:32:34
12,user12,hashed_password,user12@hotel.com,Che Revilla Uribe,HUESPED,1,2024-11-20 00:16:56
13,user13,hashed_password,user13@hotel.com,Glauco Morillo Palau,HUESPED,1,2025-03-27 06:17:19
14,user14,hashed_password,user14@hotel.com,María Del Carmen Colom Yuste,HUESPED,1,2025-01-21 22:05:32
15,user15,hashed_password,user15@hotel.com,Juanita Alegria Cortes,HUESPED,1,2025-12-13 09:02:59
16,user16,hashed_password,user16@hotel.com,Camilo Pazos,HUESPED,1,2024-10-30 13:13:52
17,user17,hashed_password,user17@hotel.com,Manuelita Rivero Valls,HUESPED,1,2024-06-24 10:40:25
18,user18,hashed_password,user18@hotel.com,Itziar Royo Duran,HUESPED,1,2024-06-18 05:24:14
19,user19,hashed_password,user19@hotel.com,Sebastian Taboada Fabregat,HUESPED,1,2024-12-20 07:38:32
20,user20,hashed_password,user20@hotel.com,Edelmiro Riquelme Narváez,HUESPED,1,2025-07-08 14:27:54
21,user21,hashed_password,user21@hotel.com,Conrado de Agullo,HUESPED,1,2024-08-15 13:48:08
22,user22,hashed_password,user22@hotel.com,Magdalena Dueñas,HUESPED,1,2026-01-03 18:19:27
23,user23,hashed_password,user23@hotel.com,Belen Gonzalez,HUESPED,1,2025-10-31 15:46:53
24,user24,hashed_password,user24@hotel.com,Macario Valcárcel Barrena,HUESPED,1,2025-11-21 17:06:34
25,user25,hashed_password,user25@hotel.com,Calixta Flores Cañizares,ADMIN,1,2025-02-02 17:10:34
26,user26,hashed_password,user26@hotel.com,Joel Sevilla,HUESPED,1,2026-03-16 11:52:49
27,user27,hashed_password,user27@hotel.com,Esmeralda Aliaga Gallart,HUESPED,1,2024-10-03 07:38:01
28,user28,hashed_password,user28@hotel.com,Susana Viñas Mateu,HUESPED,1,2025-06-08 14:58:11
29,user29,hashed_password,user29@hotel.com,Evelia del Luís,HUESPED,1,2025-02-13 06:03:48
30,user30,hashed_password,user30@hotel.com,Lilia Serna,HUESPED,1,2024-08-20 14:11:20
31,user31,hashed_password,user31@hotel.com,Susana Pallarès-Vicente,HUESPED,1,2025-10-21 11:15:25
32,user32,hashed_password,user32@hotel.com,Eva Cózar Campos,HUESPED,1,2025-06-07 06:53:33
33,user33,hashed_password,user33@hotel.com,Victor Alcolea Moraleda,HUESPED,1,2025-12-09 20:06:26
34,user34,hashed_password,user34@hotel.com,Débora de Rozas,ADMIN,1,2025-12-23 18:49:38
35,user35,hashed_password,user35@hotel.com,Olimpia Arnaiz Aller,HUESPED,1,2026-05-13 13:12:18
36,user36,hashed_password,user36@hotel.com,Jordi Lladó Fuertes,HUESPED,1,2024-10-21 21:58:58
37,user37,hashed_password,user37@hotel.com,Luisa Segovia Tur,HUESPED,1,2024-12-28 17:12:33
38,user38,hashed_password,user38@hotel.com,Clarisa Montero,HUESPED,1,2024-11-24 19:22:23
39,user39,hashed_password,user39@hotel.com,Natividad Daza Seguí,RECEPCIONISTA,1,2025-03-11 03:53:31
40,user40,hashed_password,user40@hotel.com,Pablo del Pallarès,HUESPED,1,2025-06-18 18:21:08
41,user41,hashed_password,user41@hotel.com,Eli Mayo-Yáñez,HUESPED,1,2025-09-30 03:56:26
42,user42,hashed_password,user42@hotel.com,Ismael del Díez,HUESPED,1,2024-07-18 09:31:08
43,user43,hashed_password,user43@hotel.com,Reyes Barros Bosch,HUESPED,1,2026-03-04 10:38:31
44,user44,hashed_password,user44@hotel.com,Dora Jáuregui Iniesta,HUESPED,1,2025-07-22 20:01:38
45,user45,hashed_password,user45@hotel.com,Primitiva Cordero Armas,HUESPED,1,2025-02-10 10:00:37
46,user46,hashed_password,user46@hotel.com,Hugo Olmo,HUESPED,1,2026-02-13 15:25:06
47,user47,hashed_password,user47@hotel.com,Víctor Fabregat Montaña,HUESPED,1,2025-03-21 02:49:42
